without bias model results (i/p->1, o/p->2 (expected));

w/o eps: 6.000000, w/t eps: 5.856925, w: 1.011995
w/o eps: 5.856925, w/t eps: 5.717269, w: 1.023845
w/o eps: 5.717269, w/t eps: 5.580937, w: 1.035554
w/o eps: 5.580937, w/t eps: 5.447859, w: 1.047122
w/o eps: 5.447859, w/t eps: 5.317948, w: 1.058552
w/o eps: 5.317948, w/t eps: 5.191149, w: 1.069843
w/o eps: 5.191149, w/t eps: 5.067368, w: 1.081000
w/o eps: 5.067368, w/t eps: 4.946540, w: 1.092022
w/o eps: 4.946540, w/t eps: 4.828587, w: 1.102913
w/o eps: 4.828587, w/t eps: 4.713451, w: 1.113673
w/o eps: 4.713451, w/t eps: 4.601068, w: 1.124303
w/o eps: 4.601068, w/t eps: 4.491362, w: 1.134806
w/o eps: 4.491362, w/t eps: 4.384272, w: 1.145183
w/o eps: 4.384272, w/t eps: 4.279739, w: 1.155435
w/o eps: 4.279739, w/t eps: 4.177695, w: 1.165565
w/o eps: 4.177695, w/t eps: 4.078085, w: 1.175572
w/o eps: 4.078085, w/t eps: 3.980852, w: 1.185460
w/o eps: 3.980852, w/t eps: 3.885937, w: 1.195229
w/o eps: 3.885937, w/t eps: 3.793286, w: 1.204881
w/o eps: 3.793286, w/t eps: 3.702847, w: 1.214417
w/o eps: 3.702847, w/t eps: 3.614562, w: 1.223838
w/o eps: 3.614562, w/t eps: 3.528384, w: 1.233147
w/o eps: 3.528384, w/t eps: 3.444259, w: 1.242344
w/o eps: 3.444259, w/t eps: 3.362140, w: 1.251430
w/o eps: 3.362140, w/t eps: 3.281979, w: 1.260408
w/o eps: 3.281979, w/t eps: 3.203730, w: 1.269278
w/o eps: 3.203730, w/t eps: 3.127350, w: 1.278041
w/o eps: 3.127350, w/t eps: 3.052789, w: 1.286699
w/o eps: 3.052789, w/t eps: 2.980014, w: 1.295253
w/o eps: 2.980014, w/t eps: 2.908973, w: 1.303704
w/o eps: 2.908973, w/t eps: 2.839623, w: 1.312053
w/o eps: 2.839623, w/t eps: 2.771926, w: 1.320303
w/o eps: 2.771926, w/t eps: 2.705846, w: 1.328454
w/o eps: 2.705846, w/t eps: 2.641341, w: 1.336507
w/o eps: 2.641341, w/t eps: 2.578373, w: 1.344463
w/o eps: 2.578373, w/t eps: 2.516909, w: 1.352324
w/o eps: 2.516909, w/t eps: 2.456909, w: 1.360090
w/o eps: 2.456909, w/t eps: 2.398340, w: 1.367763
w/o eps: 2.398340, w/t eps: 2.341167, w: 1.375345
w/o eps: 2.341167, w/t eps: 2.285360, w: 1.382834
w/o eps: 2.285360, w/t eps: 2.230882, w: 1.390235
w/o eps: 2.230882, w/t eps: 2.177703, w: 1.397546
w/o eps: 2.177703, w/t eps: 2.125793, w: 1.404770
w/o eps: 2.125793, w/t eps: 2.075120, w: 1.411907
w/o eps: 2.075120, w/t eps: 2.025657, w: 1.418958
w/o eps: 2.025657, w/t eps: 1.977373, w: 1.425925
w/o eps: 1.977373, w/t eps: 1.930239, w: 1.432808
w/o eps: 1.930239, w/t eps: 1.884227, w: 1.439609
w/o eps: 1.884227, w/t eps: 1.839313, w: 1.446328
w/o eps: 1.839313, w/t eps: 1.795475, w: 1.452966
w/o eps: 1.795475, w/t eps: 1.752677, w: 1.459525
w/o eps: 1.752677, w/t eps: 1.710903, w: 1.466005
w/o eps: 1.710903, w/t eps: 1.670122, w: 1.472408
w/o eps: 1.670122, w/t eps: 1.630317, w: 1.478733
w/o eps: 1.630317, w/t eps: 1.591460, w: 1.484982
w/o eps: 1.591460, w/t eps: 1.553528, w: 1.491157
w/o eps: 1.553528, w/t eps: 1.516501, w: 1.497257
w/o eps: 1.516501, w/t eps: 1.480360, w: 1.503284
w/o eps: 1.480360, w/t eps: 1.445077, w: 1.509239
w/o eps: 1.445077, w/t eps: 1.410636, w: 1.515123
w/o eps: 1.410636, w/t eps: 1.377018, w: 1.520935
w/o eps: 1.377018, w/t eps: 1.344202, w: 1.526678
w/o eps: 1.344202, w/t eps: 1.312167, w: 1.532352
w/o eps: 1.312167, w/t eps: 1.280895, w: 1.537958
w/o eps: 1.280895, w/t eps: 1.250370, w: 1.543497
w/o eps: 1.250370, w/t eps: 1.220572, w: 1.548969
w/o eps: 1.220572, w/t eps: 1.191486, w: 1.554376
w/o eps: 1.191486, w/t eps: 1.163093, w: 1.559717
w/o eps: 1.163093, w/t eps: 1.135377, w: 1.564995
w/o eps: 1.135377, w/t eps: 1.108320, w: 1.570209
w/o eps: 1.108320, w/t eps: 1.081910, w: 1.575361
w/o eps: 1.081910, w/t eps: 1.056128, w: 1.580451
w/o eps: 1.056128, w/t eps: 1.030961, w: 1.585480
w/o eps: 1.030961, w/t eps: 1.006395, w: 1.590448
w/o eps: 1.006395, w/t eps: 0.982414, w: 1.595357
w/o eps: 0.982414, w/t eps: 0.959005, w: 1.600207
w/o eps: 0.959005, w/t eps: 0.936154, w: 1.604999
w/o eps: 0.936154, w/t eps: 0.913849, w: 1.609733
w/o eps: 0.913849, w/t eps: 0.892074, w: 1.614411
w/o eps: 0.892074, w/t eps: 0.870819, w: 1.619032
